,return
2021-06-22,0.2330886557921339
2021-06-23,0.7440669133149846
2021-06-24,-0.2319196173194733
2021-06-25,0.39484095451815904
2021-06-28,0.12485237571297247
2021-06-29,0.7541512388235994
2021-06-30,-0.19953438221044983
2021-07-01,-0.0618670194792692
2021-07-02,0.8445551041122954
2021-07-06,0.7038898819618034
2021-07-07,-0.051966745012892446
2021-07-08,0.8391454469699866
2021-07-09,0.9084000426546126
2021-07-12,0.1040948442087899
2021-07-13,0.4265165927248784
2021-07-14,0.4418670728909344
2021-07-15,0.4357032573552768
2021-07-16,0.7273838447792205
2021-07-19,0.17686272340999665
2021-07-20,-0.09616564685510909
2021-07-21,-0.0992802601629954
2021-07-22,0.7910121678419539
2021-07-23,0.4395939556038506
2021-07-26,-0.06895205090696521
2021-07-27,-0.11840650643954298
2021-07-28,0.8249317550561681
2021-07-29,0.9965047919355836
2021-07-30,1.0278665269034644
2021-08-02,0.856453286309506
2021-08-03,0.08919946232222209
2021-08-04,-0.1395032841430801
2021-08-05,0.7610290907077886
2021-08-06,0.7328296871296409
2021-08-09,0.059438238261453336
2021-08-10,0.8769850003846802
2021-08-11,0.12262715143575598
2021-08-12,0.06706660635019368
2021-08-13,0.3411149561258551
2021-08-16,0.4534509371752158
2021-08-17,0.8942827408884355
2021-08-18,0.30935819933014486
2021-08-19,0.33440709153909864
2021-08-20,0.7759716596050286
2021-08-23,-0.07539664734613005
2021-08-24,-0.11469520312473058
2021-08-25,-0.06779157955010895
2021-08-26,0.7871204235043265
2021-08-27,0.17790549972948533
2021-08-30,0.8971821256057595
2021-08-31,0.3328999719529939
2021-09-01,0.2837547715195665
2021-09-02,0.07523437441838965
2021-09-03,0.055302293475037345
2021-09-07,0.7549930228363184
2021-09-08,0.789253859798281
2021-09-09,0.7718254960302868
2021-09-10,0.8748199903384108
2021-09-13,0.42696868994930703
2021-09-14,0.7324269383426252
2021-09-15,0.5030484132911557
2021-09-16,0.6414834178013944
2021-09-17,0.7790203132890898
2021-09-20,0.8004320057630103
2021-09-21,-0.13275426776108468
2021-09-22,0.14022689569193858
2021-09-23,0.8150714048854919
2021-09-24,-0.12158735565720669
2021-09-27,0.7650245755122089
2021-09-28,-0.027726461091246435
2021-09-29,-0.019504634448180624
2021-09-30,0.7451948831819397
2021-10-01,0.7062439623734953
2021-10-04,0.9796959369353928
2021-10-05,0.3643835661463104
2021-10-06,0.12556633802180528
2021-10-07,0.9649819281687169
2021-10-08,0.7658291463566709
2021-10-11,0.6694069186498997
2021-10-12,0.05459817521103538
2021-10-13,0.04507439666608626
2021-10-14,0.06078284216668628
2021-10-15,0.07919353340205149
2021-10-18,-0.09650811352520705
2021-10-19,0.10656903601799783
2021-10-20,1.1031214768823059
2021-10-21,0.3290268617046017
2021-10-22,0.07724707970636402
2021-10-25,0.20829301497622055
2021-10-26,0.5268608035519744
2021-10-27,0.5667504844358504
2021-10-28,0.704602596287339
2021-10-29,0.7433705390123908
2021-11-01,1.0308499761056193
2021-11-02,0.2981018182949402
2021-11-03,0.3070302215499403
2021-11-04,0.2940005648736683
2021-11-05,0.44749317866864047
2021-11-08,0.5795082841006565
2021-11-09,0.5995026749153372
2021-11-10,0.2940153428685921
2021-11-11,0.6625729866711829
2021-11-12,0.6547258930842883
2021-11-15,0.26251602851605327
2021-11-16,0.8444863491501149
2021-11-17,0.028485846362189093
2021-11-18,0.8623667154618548
2021-11-19,0.8661507687245393
2021-11-22,0.24675939616175135
2021-11-23,0.24146752702484164
2021-11-24,0.23698299022940716
2021-11-26,0.6412976333067828
2021-11-29,0.21519197050761818
2021-11-30,0.7128008045036154
2021-12-01,0.4807602006288967
2021-12-02,0.48029306551506856
2021-12-03,0.24905237676859748
2021-12-06,0.7494382197595808
2021-12-07,0.7659235499974706
2021-12-08,0.7307320294164548
2021-12-09,0.7663575297512306
2021-12-10,0.018994070710109057
2021-12-13,0.33430535342710677
2021-12-14,0.28062827235826227
2021-12-15,0.49602906677997183
2021-12-16,1.0209177278940818
2021-12-17,0.7605294722334826
2021-12-20,0.6721433930348173
2021-12-21,0.3845894755693884
2021-12-22,0.4443931660946827
2021-12-23,0.9153649793406373
2021-12-27,1.095331523723324
2021-12-28,0.3120431635065142
2021-12-29,0.8264943713541211
2021-12-30,0.7183103032273142
2021-12-31,0.6926632903955028
